Short_Name,Teff,Teff_err,R,d,A55,M1,M1_err,rho1,vgr1,vgr1_err,dR1,dM1,M2,M2_err,rho2,vgr2,vgr2_err,dR2,dM2
0746-0642,13735,425,0.0126,101,0.006,0.63,0.03,0.44,32.1,1.6,0.0,-0.1,0.65,0.03,0.47,33.0,1.5,0.9,0.5
0806-0006,9040,215,0.0137,61,0.004,0.69,0.05,0.49,32.2,2.0,9.7,9.0,0.74,0.04,0.69,34.6,1.4,12.2,12.0
0807-3622,16540,285,0.0133,49,0.003,0.64,0.04,0.11,30.5,1.8,2.9,3.7,0.60,0.03,0.26,28.9,1.1,0.6,0.5
0818+1211,31225,1440,0.0116,284,0.021,0.78,0.16,0.24,42.0,8.2,1.4,4.3,0.61,0.15,0.34,33.5,7.7,-10.3,-10.0
1011+0536,12985,540,0.0204,191,0.009,0.41,0.07,0.16,12.2,2.1,1.9,6.2,0.47,0.06,0.26,13.9,1.8,8.5,13.0
1029-3748,12240,195,0.0123,63,0.004,0.67,0.05,0.02,35.3,2.4,2.2,0.3,0.72,0.04,0.15,37.3,1.8,4.5,3.9
1054-4123,16665,450,0.0125,124,0.007,0.81,0.05,0.26,41.4,2.7,10.0,9.4,0.82,0.05,0.30,42.2,2.5,10.7,9.7
1126-7631,21990,835,0.0140,145,0.013,0.77,0.06,0.38,35.0,2.6,11.2,11.0,0.78,0.06,0.42,35.7,2.4,12.2,12.1
1140-3142,21565,875,0.0200,268,0.025,0.58,0.09,0.24,18.5,3.1,15.4,15.1,0.59,0.11,0.26,19.2,3.2,17.4,15.5
1206-3805,11845,185,0.0123,59,0.004,0.64,0.04,0.12,33.5,2.1,-1.2,-2.3,0.69,0.04,0.22,36.3,1.8,3.0,2.0
1207-0412,14705,450,0.0143,127,0.007,0.54,0.04,0.32,24.2,1.7,-1.3,-1.4,0.56,0.04,0.29,25.1,1.5,-0.2,-0.8
1247+1442,10490,175,0.0132,61,0.004,0.56,0.07,0.09,27.0,3.3,-1.6,-1.3,0.67,0.05,0.26,32.4,2.1,6.1,5.5
1350+0522,20870,795,0.0133,184,0.012,0.56,0.06,0.30,27.6,2.5,-2.7,-5.0,0.64,0.05,0.54,30.8,1.9,2.7,2.5
1426-5716,12590,315,0.0100,70,0.005,,,,,,,,0.66,0.03,0.39,41.9,1.5,-10.5,-10.5
1426-5716a,12405,315,0.0104,70,0.005,,,,,,,,0.68,0.03,0.44,41.9,1.7,-7.2,-7.0
1434-3256,13680,515,0.0127,115,0.009,0.56,0.07,0.19,28.3,3.5,-4.2,-4.4,0.58,0.07,0.24,29.1,3.0,-2.9,-2.3
1524-2318,19290,995,0.0160,156,0.092,0.74,0.10,0.38,30.1,4.2,18.7,16.2,0.77,0.12,0.43,31.4,4.7,20.1,17.7
1841-5056,15870,665,0.0137,136,0.010,0.59,0.08,0.20,27.5,3.2,1.6,1.1,0.60,0.05,0.44,27.8,2.1,2.2,2.4
2234+1456,6275,100,0.0126,34,0.003,0.60,0.06,0.34,30.7,2.5,1.3,0.4,0.68,0.04,0.51,34.1,1.6,4.6,5.0
2245-1002,8335,275,0.0107,57,0.004,0.87,0.05,0.87,51.5,1.4,7.5,7.5,0.91,0.05,0.91,54.2,1.1,9.6,9.4
WD1544-377b,10470,70,0.0125,15,0.001,0.58,0.04,-0.04,29.2,1.8,-3.7,-2.6,0.59,0.03,0.00,29.8,1.6,-2.6,-2.4
HE0204-3821,13555,435,0.0136,95,0.005,0.65,0.11,0.03,30.8,5.1,6.7,5.1,0.68,0.11,0.02,32.0,4.5,7.9,7.1
HE0330-4736,13180,315,0.0121,72,0.004,0.66,0.03,0.30,34.8,1.8,-0.6,-0.8,0.65,0.03,0.32,34.4,1.6,-1.4,-1.7
HS0145+1737,18000,645,0.0125,88,0.007,0.59,0.03,0.49,29.9,1.6,-4.3,-3.3,0.57,0.04,0.43,28.9,1.8,-5.9,-6.1
WD0106-358,28645,575,0.0146,94,0.005,0.51,0.06,0.02,22.9,3.0,-5.8,-8.4,0.58,0.07,0.05,25.7,2.8,0.3,-1.6
WD0204-306,5545,60,0.0126,29,0.002,0.67,0.08,0.17,33.9,4.3,4.5,4.8,0.66,0.08,0.15,33.5,4.4,4.1,3.5
WD0628-020,6610,70,0.0131,21,0.002,0.55,0.06,0.12,26.4,2.8,-1.9,-0.5,0.62,0.06,0.12,29.8,2.8,3.4,4.1
WD1015-216,30850,1210,0.0141,150,0.008,0.62,0.17,0.07,30.0,8.0,4.0,-1.6,0.78,0.18,0.10,35.9,7.4,12.1,10.2
WD1105-048,15700,275,0.0136,25,0.002,0.54,0.01,0.53,25.5,0.7,-4.3,-4.5,0.57,0.02,0.52,26.8,0.8,-1.1,-1.2
# WD1147+255,10210,230,0.0127,50,0.003,2.51,0.13,0.61,125.6,5.0,53.5,54.1,2.48,0.13,0.60,124.5,4.5,53.2,53.7
WD1348-273,9720,155,0.0129,38,0.003,0.61,0.04,0.37,30.0,1.7,1.4,1.2,0.63,0.04,0.37,30.9,1.6,2.6,2.7
WD1544-377,10460,70,0.0125,15,0.001,0.55,0.02,0.04,27.7,1.3,-6.1,-5.5,0.55,0.03,0.04,28.1,1.2,-5.4,-5.0
WD1619+123,16445,350,0.0143,56,0.006,0.47,0.04,0.19,21.1,1.8,-7.6,-7.9,0.50,0.04,0.19,22.2,1.9,-5.1,-5.0
WD1620-391,24335,475,0.0129,13,0.001,0.62,0.01,0.68,30.6,0.6,-1.6,-1.0,0.65,0.02,0.65,32.0,0.6,0.3,0.4
WD1911+135,13795,175,0.0129,34,0.004,0.60,0.03,0.06,29.6,1.6,0.3,-0.2,0.62,0.03,0.05,30.6,1.5,1.5,1.0
WD1932-136,16200,540,0.0148,105,0.014,0.58,0.04,0.43,24.8,1.7,3.1,2.7,0.59,0.04,0.44,25.2,1.5,3.6,3.1
WD2253+054,5860,100,0.0130,25,0.002,0.53,0.04,0.42,26.4,1.8,-2.8,-3.8,0.62,0.05,0.44,30.2,1.8,3.1,3.2
WD2318+126,13440,500,0.0129,90,0.007,0.51,0.11,-0.05,25.8,5.8,-8.2,-10.2,0.55,0.11,-0.03,27.4,5.0,-4.6,-6.2
